,sentiments
4441,neutral
905,neutral
4166,positive
11241,neutral
11533,positive
4839,neutral
7999,positive
2060,neutral
3628,neutral
11737,positive
15937,positive
5327,negative
3684,positive
5020,positive
15398,positive
5319,neutral
1386,positive
1392,neutral
13743,positive
2822,negative
11417,positive
9850,positive
16537,negative
3413,neutral
16390,positive
1733,positive
8286,neutral
9532,positive
2283,neutral
14699,positive
3115,neutral
4914,neutral
11283,positive
14916,positive
10453,neutral
11627,positive
3615,positive
12273,positive
16634,positive
7044,positive
8397,positive
17113,positive
11545,positive
8964,neutral
6448,neutral
1770,positive
11983,positive
12703,neutral
2866,positive
12315,positive
4989,neutral
7643,positive
11077,neutral
4218,neutral
11056,positive
7468,positive
8609,positive
7448,positive
5578,negative
9279,positive
516,neutral
16213,positive
7218,positive
9388,positive
16677,positive
235,neutral
5076,positive
1834,neutral
9687,neutral
9937,neutral
17176,neutral
15178,positive
4586,negative
16429,positive
6976,neutral
12044,positive
5445,positive
5667,neutral
92,positive
5161,neutral
7079,positive
3613,negative
10210,positive
14297,positive
12366,neutral
15298,positive
17109,neutral
10213,negative
4574,positive
445,negative
16991,positive
10065,neutral
13493,positive
10654,positive
8329,neutral
16135,positive
13547,positive
7500,positive
14293,positive
3553,neutral
5885,positive
14759,neutral
1324,neutral
10954,positive
6994,negative
8602,positive
661,neutral
1216,neutral
4251,positive
15099,positive
8319,positive
15504,neutral
15854,positive
3026,positive
12830,positive
14133,positive
7103,negative
11636,positive
9914,neutral
17004,positive
8725,negative
1717,negative
4645,neutral
10632,positive
8963,negative
11989,positive
10096,neutral
7524,positive
15144,positive
6103,neutral
6315,neutral
679,neutral
969,neutral
1786,positive
7356,negative
12591,positive
562,positive
11268,positive
2711,neutral
3675,positive
3629,neutral
422,positive
15523,positive
1784,negative
9284,neutral
4186,negative
12942,positive
7558,positive
10433,neutral
2196,neutral
15085,positive
7172,neutral
231,positive
6631,positive
7874,neutral
9192,negative
9930,neutral
14267,positive
5875,neutral
15942,positive
11132,neutral
9497,neutral
3139,positive
16549,positive
6133,positive
11138,positive
2401,neutral
16895,neutral
13684,positive
8016,positive
11012,neutral
13766,neutral
12929,positive
4200,neutral
3035,negative
12264,positive
2077,positive
3268,positive
9235,neutral
319,positive
11779,negative
3322,positive
271,neutral
3556,neutral
1308,positive
6919,positive
4360,positive
13169,positive
8807,neutral
644,neutral
16340,neutral
4012,positive
14451,positive
10216,neutral
10995,neutral
12095,positive
9931,positive
2348,positive
5713,positive
16964,neutral
17329,positive
15413,neutral
731,neutral
11166,neutral
16216,positive
10336,neutral
12918,positive
11182,positive
13808,positive
3310,negative
12011,neutral
1936,positive
4898,neutral
11239,positive
1678,negative
8333,neutral
3474,positive
10804,neutral
14144,negative
14467,positive
2868,positive
14320,neutral
6275,neutral
1543,neutral
17290,positive
4635,positive
16455,positive
8733,positive
16470,positive
15283,positive
4845,neutral
12382,positive
14460,neutral
2618,negative
11647,neutral
674,negative
8021,neutral
8031,positive
15205,neutral
1551,positive
8186,positive
11174,positive
7248,neutral
12456,positive
12443,positive
17152,positive
264,negative
9358,positive
8405,positive
2673,neutral
16786,positive
16485,positive
17334,positive
9612,positive
2400,neutral
10740,neutral
15586,positive
8631,neutral
5831,neutral
9792,neutral
9827,positive
7259,positive
15701,positive
11416,positive
7650,positive
13569,neutral
17052,neutral
9274,positive
7213,positive
6459,negative
2543,positive
10291,neutral
7620,positive
1221,neutral
15651,positive
11504,positive
12686,positive
5817,positive
2369,neutral
9110,positive
9970,positive
14707,positive
10969,neutral
5300,positive
6082,neutral
6991,positive
1538,neutral
340,neutral
4948,negative
1311,positive
16665,neutral
10047,negative
4071,positive
5438,positive
12839,positive
4320,positive
9936,negative
4972,neutral
1680,neutral
11448,negative
7838,neutral
3515,positive
16388,positive
8702,positive
7709,neutral
15429,positive
2944,neutral
12506,positive
11065,neutral
15321,positive
11058,positive
9020,neutral
893,negative
16820,positive
7357,positive
16232,neutral
1979,neutral
252,neutral
15200,neutral
16375,positive
6192,positive
6718,negative
1145,negative
16363,neutral
12620,positive
14685,neutral
9328,positive
10478,positive
2905,neutral
12828,neutral
16541,positive
15828,neutral
11408,positive
14979,positive
15370,positive
10807,positive
15960,positive
14575,positive
15135,positive
6573,neutral
1527,positive
13033,positive
4782,positive
1610,positive
9551,negative
15097,positive
15780,positive
8748,positive
1856,positive
8506,neutral
938,positive
8709,neutral
2600,positive
13193,positive
8499,neutral
16243,positive
15957,positive
3400,neutral
17108,positive
17283,positive
2290,positive
7624,positive
3966,positive
15559,positive
695,neutral
11510,positive
14611,positive
15050,positive
5165,neutral
11708,positive
2877,positive
10715,positive
8158,positive
15745,neutral
4846,neutral
7978,positive
153,positive
13582,positive
7073,neutral
14801,positive
4252,negative
2635,negative
1825,positive
11054,positive
13591,positive
15132,positive
2049,neutral
15385,positive
4594,neutral
17163,positive
5488,negative
10582,neutral
2706,positive
16085,positive
6431,neutral
6862,positive
7135,neutral
8604,positive
9565,neutral
3838,positive
190,neutral
5221,neutral
976,neutral
5098,negative
3737,neutral
7402,positive
15172,neutral
17104,positive
11420,neutral
9486,positive
4764,neutral
13129,positive
6312,positive
16968,positive
17276,positive
4151,positive
8996,positive
6764,neutral
5244,neutral
4781,positive
2042,negative
7337,positive
8277,negative
1781,positive
4771,neutral
1525,neutral
15402,positive
2119,positive
3808,positive
4464,positive
8853,neutral
16570,positive
14740,neutral
7837,positive
12759,neutral
11245,positive
16082,negative
12365,positive
11581,positive
16830,positive
13160,neutral
2210,neutral
8868,neutral
14352,positive
16624,neutral
2730,positive
2420,positive
1970,positive
16725,positive
337,neutral
5651,neutral
11898,positive
3774,neutral
7189,positive
12876,neutral
15819,positive
6378,neutral
13668,positive
7320,neutral
13343,neutral
14836,neutral
15977,positive
4888,neutral
1075,neutral
939,positive
2439,positive
17182,positive
8900,positive
13682,neutral
14734,neutral
11554,positive
16670,positive
12035,positive
10684,negative
7435,neutral
17256,positive
9726,positive
13567,positive
11025,negative
14163,positive
1778,negative
2047,neutral
12630,positive
4184,positive
1703,neutral
8288,neutral
12193,neutral
3160,positive
7829,positive
7095,positive
14612,positive
10620,neutral
6648,positive
809,positive
6639,neutral
1682,positive
15427,positive
14197,neutral
16148,positive
10338,positive
513,negative
1015,negative
15100,neutral
14738,positive
14831,positive
1282,negative
5236,neutral
13698,positive
9796,positive
16967,positive
4493,positive
10511,neutral
7784,neutral
10761,negative
3923,positive
13923,positive
12183,positive
4527,neutral
1685,positive
2672,positive
8969,neutral
14476,neutral
1820,neutral
12811,positive
9692,positive
9054,neutral
774,neutral
6254,neutral
8933,neutral
1973,positive
7414,positive
7562,neutral
6006,neutral
16989,neutral
12790,positive
14800,neutral
130,negative
5307,positive
13227,positive
5819,positive
3864,neutral
4749,neutral
6280,positive
2626,neutral
4430,neutral
320,positive
15122,neutral
4961,neutral
16523,positive
6616,neutral
2424,negative
11770,positive
12330,positive
12032,positive
5417,positive
6038,neutral
9696,positive
15031,positive
6007,positive
2943,positive
1447,neutral
14778,positive
2824,positive
3136,neutral
7977,positive
3339,neutral
3254,positive
11104,neutral
13701,positive
7111,neutral
4940,neutral
7190,positive
7140,neutral
3967,neutral
981,negative
14169,positive
4716,positive
16951,positive
2143,negative
11164,neutral
10436,neutral
13896,positive
14172,positive
1866,neutral
2288,negative
5454,neutral
14985,neutral
1280,neutral
7730,positive
2864,negative
16451,positive
9917,positive
592,positive
6832,positive
14329,neutral
7487,neutral
16230,positive
17155,neutral
2019,neutral
9323,positive
10026,neutral
15893,positive
3744,neutral
9314,positive
1793,positive
12837,neutral
14848,positive
11259,negative
13181,neutral
14426,positive
10380,neutral
448,positive
10150,neutral
15518,neutral
1037,negative
11528,neutral
5594,neutral
12319,positive
7776,neutral
5761,neutral
15874,positive
521,positive
1876,positive
11257,neutral
4233,positive
16174,positive
8607,positive
5581,neutral
11135,positive
14228,positive
16425,positive
13922,neutral
951,neutral
2187,negative
63,positive
807,positive
10902,positive
15943,positive
1668,negative
3712,positive
14755,positive
9885,positive
6819,neutral
719,positive
11721,positive
15903,neutral
3907,positive
973,negative
13335,positive
5724,neutral
7596,positive
3738,positive
517,positive
9768,neutral
10899,positive
2231,neutral
16151,positive
8995,positive
15856,neutral
12894,neutral
17097,positive
11365,positive
6697,neutral
14242,positive
3681,positive
4017,positive
6725,positive
9882,neutral
1156,neutral
10653,neutral
8229,neutral
16657,positive
3931,neutral
3003,positive
15259,positive
15631,neutral
8328,positive
9028,positive
11193,neutral
7606,positive
15978,positive
3373,neutral
730,neutral
14603,positive
6037,negative
2727,positive
14672,positive
6786,negative
6308,neutral
6601,neutral
9158,neutral
5088,positive
11028,positive
5869,negative
3461,positive
1725,neutral
10757,neutral
1759,neutral
3916,positive
4592,neutral
17336,positive
16550,positive
1803,positive
15362,positive
7663,neutral
7347,neutral
3568,positive
4083,positive
12822,positive
9446,positive
10988,positive
8248,neutral
9732,positive
5306,neutral
639,neutral
1118,neutral
40,neutral
13688,positive
5934,positive
15264,positive
5969,positive
1873,positive
8509,positive
4545,negative
2029,positive
14117,positive
3765,positive
12779,neutral
5507,positive
4240,positive
4463,neutral
9439,positive
10525,neutral
4524,positive
11341,positive
4793,positive
4528,neutral
4433,neutral
6886,positive
2631,neutral
7231,neutral
15367,neutral
13311,negative
8997,neutral
2810,negative
3202,positive
9545,positive
1032,negative
1427,neutral
14863,neutral
10673,negative
7317,positive
1738,neutral
1826,neutral
13117,positive
11229,positive
11587,positive
5455,neutral
15596,positive
12980,negative
11819,positive
10297,neutral
9718,positive
1919,positive
16784,positive
5097,neutral
6978,negative
8914,positive
5001,neutral
9911,neutral
10313,neutral
13809,positive
10813,neutral
14898,positive
2578,positive
12045,neutral
15935,positive
9033,negative
2402,neutral
17185,positive
8966,positive
9435,positive
16899,positive
15352,neutral
10274,positive
109,positive
11681,positive
13293,positive
14742,positive
17116,positive
7383,neutral
9529,positive
15646,neutral
8700,positive
16576,positive
7939,positive
16709,positive
9546,neutral
4078,neutral
1950,positive
9724,positive
10349,positive
14372,positive
14212,positive
16460,positive
17247,positive
12047,positive
7055,neutral
11384,positive
3189,positive
10384,positive
15271,neutral
14016,positive
1401,positive
15485,positive
11817,positive
3555,neutral
13392,positive
16605,positive
5666,positive
14082,positive
10020,negative
16139,positive
14252,positive
16984,positive
5776,positive
3420,positive
6791,neutral
1442,positive
5571,neutral
8723,positive
10535,neutral
13791,positive
1923,neutral
1040,neutral
10131,neutral
2557,positive
7770,neutral
3040,neutral
13085,neutral
8160,positive
9671,neutral
593,neutral
32,neutral
5443,neutral
10781,neutral
2098,neutral
9780,positive
5686,neutral
8411,positive
5407,positive
7330,negative
8753,positive
5143,neutral
2050,positive
17190,positive
7951,positive
8757,negative
4494,neutral
407,positive
9385,positive
10873,neutral
9113,positive
6730,positive
6624,positive
17249,neutral
6770,negative
14878,positive
5687,negative
13400,neutral
11689,positive
4769,positive
1268,neutral
10612,negative
5459,positive
4560,neutral
6498,negative
11776,neutral
13017,positive
12291,positive
3066,neutral
8056,positive
9344,neutral
17307,neutral
1513,neutral
2976,neutral
5640,positive
233,neutral
810,neutral
3763,positive
11582,neutral
16596,positive
9787,neutral
4833,neutral
16359,positive
17189,neutral
15829,neutral
9348,neutral
156,neutral
7459,positive
4064,neutral
3604,positive
11878,positive
5864,positive
3871,neutral
1925,neutral
5109,positive
2689,neutral
469,neutral
4043,neutral
3778,positive
16671,positive
13173,positive
14281,positive
1790,positive
8555,positive
4420,negative
15573,neutral
16513,positive
4038,positive
12991,neutral
3137,neutral
15515,neutral
4,neutral
5502,positive
12768,positive
5561,positive
8590,neutral
11009,neutral
12963,neutral
5402,neutral
4484,neutral
968,neutral
3513,positive
15996,neutral
12723,neutral
3199,positive
10587,positive
1761,positive
11482,positive
12201,positive
4104,neutral
10501,negative
140,neutral
2241,positive
3216,positive
2778,neutral
16574,positive
13796,positive
15843,positive
4633,negative
10003,positive
3384,positive
8520,positive
1482,positive
10780,neutral
6131,neutral
8973,neutral
17068,positive
7486,neutral
13550,neutral
2891,positive
16643,positive
13524,positive
16324,positive
16417,positive
672,positive
2186,neutral
13650,positive
14069,positive
1463,neutral
16042,positive
16321,neutral
330,neutral
1395,positive
1992,positive
7771,positive
15827,positive
14722,positive
7011,positive
739,positive
909,neutral
10324,positive
11884,positive
7604,positive
13632,positive
13051,positive
8270,neutral
594,positive
9702,positive
7653,neutral
13161,positive
13935,positive
845,neutral
11447,neutral
7118,neutral
15433,neutral
1238,neutral
3881,neutral
16949,positive
17318,positive
13482,positive
15295,positive
14565,positive
11814,positive
13479,positive
14771,neutral
14564,neutral
1058,neutral
1379,neutral
9471,positive
1531,neutral
107,positive
3375,neutral
4324,neutral
17278,positive
721,positive
10435,neutral
9785,negative
9535,negative
7839,positive
11671,neutral
15358,neutral
15612,positive
9980,positive
2812,neutral
4467,neutral
13530,positive
14723,positive
8681,positive
11614,neutral
9453,positive
6802,positive
15013,positive
7238,positive
14489,neutral
5721,neutral
6628,negative
16911,neutral
11559,neutral
10888,neutral
16286,positive
5606,neutral
2067,positive
1975,positive
11160,neutral
13369,neutral
8044,negative
12517,positive
2850,negative
13914,positive
5696,positive
10055,neutral
5673,neutral
1007,negative
13452,positive
16983,positive
11406,positive
12577,positive
12429,positive
1814,neutral
14312,neutral
10786,positive
14431,positive
9596,neutral
6119,positive
6145,neutral
13596,positive
158,negative
5522,positive
3868,positive
14560,neutral
2201,positive
8942,negative
9514,positive
3317,positive
5589,neutral
830,neutral
9618,positive
16070,positive
6875,positive
10696,positive
16691,neutral
3007,neutral
13658,positive
4302,positive
5946,neutral
10609,positive
2773,positive
8106,positive
13282,negative
1671,positive
14011,positive
10630,positive
12092,positive
12378,positive
16501,positive
4523,neutral
14986,positive
464,neutral
15884,neutral
1507,neutral
14498,positive
17144,neutral
1835,positive
15176,neutral
14747,neutral
1008,positive
14045,positive
6881,positive
17221,positive
4617,neutral
5144,neutral
3630,positive
8455,neutral
3674,positive
10534,positive
16715,positive
16108,positive
10019,neutral
11179,positive
1381,neutral
16273,neutral
15989,neutral
3878,positive
5366,positive
10463,positive
8292,neutral
4884,positive
11699,positive
1988,positive
7209,positive
2285,neutral
5968,positive
5430,neutral
9125,positive
15844,negative
7797,positive
5956,neutral
6602,neutral
15895,positive
8954,negative
3958,neutral
225,neutral
5991,neutral
9809,negative
16552,neutral
16210,neutral
1344,positive
2977,neutral
278,neutral
3293,positive
12701,positive
17087,positive
16520,positive
17010,positive
1101,negative
10532,positive
2315,positive
9902,neutral
13735,neutral
10482,neutral
8261,neutral
1913,neutral
11249,positive
7158,positive
2165,positive
9229,positive
11964,positive
10548,positive
4216,neutral
9971,positive
769,positive
10348,positive
5153,negative
13556,positive
6501,positive
4095,positive
14895,neutral
11720,positive
2972,positive
2160,positive
11826,positive
10993,positive
14783,neutral
3545,neutral
11026,neutral
13862,negative
14434,negative
8565,positive
1172,neutral
17339,neutral
15629,neutral
12956,negative
10694,positive
6078,neutral
12087,positive
6522,positive
8065,positive
10373,positive
16019,neutral
6703,neutral
11957,positive
9488,neutral
15092,positive
406,negative
3498,negative
9587,positive
2741,negative
4892,neutral
3179,neutral
2132,positive
12860,positive
10831,negative
6817,positive
8596,neutral
11860,positive
11425,positive
10695,neutral
17215,negative
13273,positive
15614,positive
844,neutral
17,neutral
2223,neutral
3491,neutral
2219,neutral
10370,positive
14187,positive
7696,positive
4211,negative
5824,positive
8298,positive
1483,neutral
7701,positive
13237,positive
15733,neutral
10327,positive
16481,positive
11691,neutral
9516,positive
13264,positive
7108,neutral
6002,neutral
3364,positive
17310,positive
7815,positive
9363,positive
10329,positive
11678,neutral
14315,positive
16958,positive
8382,neutral
15210,positive
6691,positive
7177,neutral
15705,positive
10214,neutral
12022,positive
2222,positive
4664,positive
3191,positive
16506,neutral
2965,neutral
1911,neutral
2867,positive
2525,negative
5970,positive
382,neutral
3749,positive
15395,neutral
12556,neutral
5670,neutral
10319,neutral
16740,positive
15925,positive
8550,negative
13372,positive
3153,positive
5280,positive
348,negative
618,neutral
12486,positive
2945,positive
7585,neutral
974,negative
10795,positive
14791,positive
12616,positive
2640,negative
1906,positive
5038,neutral
7043,neutral
12780,neutral
12810,positive
8538,positive
16049,positive
16647,positive
3974,positive
4445,neutral
4498,neutral
687,neutral
11553,positive
3546,neutral
4806,neutral
1548,positive
10492,negative
10732,positive
5285,positive
15526,positive
13204,neutral
15786,neutral
2533,neutral
6693,positive
1186,positive
12064,neutral
3861,neutral
7900,positive
5888,positive
10530,positive
16022,positive
6160,positive
9257,positive
9490,neutral
9833,positive
15416,neutral
16955,positive
7574,positive
249,neutral
6276,positive
759,neutral
15214,positive
2043,positive
10518,negative
3481,neutral
3357,neutral
17197,positive
14915,neutral
5728,neutral
1794,neutral
7048,negative
15379,neutral
1217,neutral
1291,neutral
15776,positive
7981,positive
315,neutral
8477,positive
4783,neutral
843,positive
16829,positive
15432,positive
527,positive
3259,positive
17298,positive
10372,neutral
13225,positive
2903,positive
6354,neutral
7871,neutral
2257,positive
6157,positive
8432,positive
333,negative
2172,neutral
14806,neutral
11184,neutral
2385,positive
248,neutral
13323,positive
6221,positive
6345,negative
17141,neutral
15043,positive
11919,positive
2248,positive
10400,neutral
13411,positive
1699,positive
14475,positive
13026,positive
13543,positive
281,positive
589,neutral
14388,neutral
2712,negative
2061,neutral
4334,positive
6206,positive
70,neutral
12907,positive
8812,positive
12568,positive
16396,positive
4219,positive
5425,neutral
3134,positive
9722,neutral
12915,positive
7746,positive
14413,positive
436,neutral
11133,positive
15861,positive
6154,neutral
7175,positive
15226,negative
1627,negative
5247,negative
13659,positive
341,positive
6988,negative
14000,positive
11915,negative
11149,negative
6125,positive
13004,positive
13167,neutral
6709,positive
11985,positive
5155,negative
8872,neutral
9003,positive
3046,neutral
2475,positive
4299,positive
147,negative
282,negative
3829,neutral
16771,positive
8424,positive
13634,positive
499,positive
9918,neutral
6571,neutral
11295,negative
7094,neutral
16843,neutral
3402,positive
12447,positive
3840,neutral
11674,neutral
15765,positive
13705,positive
5298,positive
3596,neutral
13932,positive
14981,positive
7866,positive
2556,neutral
14165,positive
4590,neutral
8156,neutral
1437,positive
6253,positive
1050,positive
2471,neutral
7077,positive
15641,positive
2902,positive
5662,neutral
16242,positive
14239,neutral
15678,neutral
8562,positive
8684,neutral
12854,positive
15505,positive
15238,positive
8217,neutral
15644,neutral
8295,positive
2962,positive
2970,neutral
6271,neutral
7642,positive
7291,positive
6629,negative
706,neutral
219,positive
11084,positive
2417,neutral
6161,positive
4367,neutral
12843,positive
5519,positive
1301,neutral
15771,positive
10091,neutral
14152,positive
11576,neutral
12427,positive
8683,neutral
14033,neutral
8947,positive
16131,positive
13062,positive
11892,positive
14605,positive
6598,negative
3795,positive
8169,positive
14925,neutral
7293,positive
1212,neutral
6168,neutral
16772,neutral
2947,neutral
1062,neutral
7074,positive
756,neutral
14922,neutral
12351,positive
1205,negative
2942,negative
12644,positive
8782,positive
3258,positive
13151,neutral
7122,negative
5602,neutral
3389,positive
14892,positive
13880,positive
3356,positive
3909,neutral
6282,neutral
1515,neutral
13851,negative
12521,positive
7920,positive
14024,positive
8118,positive
11586,positive
8741,positive
3286,positive
14914,neutral
5699,neutral
2114,positive
3476,positive
17295,positive
14812,negative
13221,positive
4842,positive
2621,negative
12020,positive
13982,positive
10205,positive
16309,positive
6633,neutral
1231,positive
13780,positive
305,positive
571,neutral
8622,positive
13416,negative
4996,neutral
192,neutral
14105,positive
8511,positive
8975,positive
14579,positive
773,positive
6559,neutral
5768,negative
9325,positive
13561,positive
6181,positive
3340,positive
1721,neutral
14757,positive
15033,positive
9299,neutral
10268,neutral
3897,neutral
2181,neutral
7588,positive
2725,positive
11407,positive
15607,neutral
16184,positive
846,neutral
1448,positive
16560,positive
12419,neutral
9226,positive
12466,positive
1758,neutral
13347,neutral
5350,neutral
916,positive
3147,neutral
13574,positive
8302,positive
4288,neutral
9698,neutral
16268,positive
13429,positive
13539,positive
14507,neutral
8150,neutral
13535,positive
9115,positive
10717,neutral
6248,neutral
1460,negative
2407,positive
13615,positive
16959,positive
5810,neutral
10219,positive
11538,positive
7375,positive
9668,neutral
236,neutral
13757,positive
11629,positive
9709,positive
7485,neutral
13299,positive
7398,positive
8918,positive
14506,positive
1438,negative
6587,neutral
122,neutral
6239,neutral
16866,positive
17032,positive
4381,positive
12999,positive
4413,neutral
1829,positive
11043,positive
8250,negative
16518,positive
14245,positive
8639,neutral
6734,positive
1262,neutral
14211,positive
5847,neutral
2959,positive
7300,positive
13649,positive
9037,positive
5107,neutral
14429,positive
3141,positive
15774,positive
7384,neutral
255,positive
15879,neutral
4922,neutral
10261,neutral
15675,positive
8881,positive
4269,positive
223,neutral
16454,positive
1752,negative
17050,positive
8835,positive
2714,positive
12671,positive
16730,positive
12177,positive
16538,positive
1394,positive
13927,positive
6291,positive
8461,positive
11154,negative
6527,negative
16636,neutral
6272,neutral
240,neutral
8695,neutral
840,neutral
7192,positive
13721,positive
13895,positive
1811,negative
17091,positive
9800,positive
5963,positive
15882,positive
2515,neutral
899,negative
11758,neutral
8083,positive
11443,negative
11772,neutral
12370,neutral
497,positive
16342,positive
15471,negative
1664,positive
14792,positive
5482,neutral
4917,positive
16782,neutral
12935,positive
3173,neutral
13517,positive
9919,negative
8866,neutral
11927,positive
11153,neutral
3455,neutral
6773,positive
3592,positive
7188,neutral
6428,positive
14876,positive
1842,positive
1666,neutral
6500,neutral
2135,neutral
16323,neutral
9999,neutral
1178,neutral
14746,positive
14561,positive
13495,positive
17273,positive
1648,positive
10452,positive
10719,negative
4927,positive
11405,positive
7393,positive
7064,positive
1195,neutral
11703,positive
4298,positive
10627,neutral
12707,neutral
1067,negative
2688,negative
2423,neutral
6644,neutral
9747,positive
6362,neutral
9351,neutral
883,negative
10371,positive
17143,positive
4536,neutral
11591,negative
838,neutral
8537,positive
9876,neutral
4830,negative
16196,positive
7781,neutral
5315,negative
10118,negative
12558,neutral
7427,positive
6968,positive
8210,negative
8376,neutral
4754,positive
13345,positive
870,positive
5048,neutral
3383,positive
4831,neutral
12801,positive
8874,positive
3794,positive
6891,positive
7540,neutral
4254,positive
14309,positive
1646,positive
2554,neutral
2498,neutral
11912,positive
6314,positive
3666,neutral
6962,negative
2015,positive
15040,positive
11954,positive
14213,positive
3009,positive
7353,neutral
5040,positive
4492,positive
15585,positive
7088,positive
5531,neutral
17136,neutral
4759,positive
1609,positive
7114,positive
206,neutral
9085,neutral
12000,positive
2357,neutral
6502,positive
4052,positive
10677,positive
10386,positive
16855,neutral
2083,positive
12401,positive
8157,positive
3501,positive
7597,positive
3086,positive
936,neutral
4079,neutral
3968,positive
15729,positive
1762,neutral
8178,positive
3416,negative
8641,positive
6722,neutral
5916,negative
6660,neutral
6366,positive
15005,neutral
9690,positive
17299,positive
3809,positive
2016,neutral
5582,neutral
8620,positive
9227,neutral
10145,positive
16567,neutral
4347,positive
10602,positive
16662,positive
12122,positive
151,neutral
13981,positive
13030,positive
8945,positive
15126,positive
12076,positive
10404,positive
17229,positive
13514,positive
338,neutral
125,positive
12425,positive
6162,positive
16961,positive
6840,positive
5907,positive
12376,neutral
2840,neutral
13846,positive
15915,positive
14480,positive
10846,neutral
14779,positive
15605,neutral
105,neutral
5202,neutral
3905,neutral
16096,neutral
8324,negative
14786,neutral
5390,neutral
15873,positive
4517,neutral
12058,positive
2904,neutral
6055,positive
8749,neutral
11803,negative
14528,positive
13949,neutral
12977,positive
14636,positive
14578,positive
9723,neutral
16156,positive
8359,positive
3917,positive
5591,positive
1472,negative
11211,negative
564,positive
9146,neutral
6441,positive
5898,positive
51,neutral
7614,neutral
15971,positive
5446,positive
2946,positive
6970,positive
1371,neutral
3432,positive
3889,neutral
10727,positive
9938,positive
4505,positive
16841,positive
4669,positive
1111,neutral
7791,neutral
4589,neutral
4010,positive
4485,positive
16944,positive
6998,neutral
8052,neutral
12873,positive
8034,neutral
15533,negative
16791,negative
2493,positive
14944,positive
812,neutral
10304,neutral
10672,neutral
15318,negative
4631,positive
7972,neutral
14313,positive
6809,negative
2668,neutral
2888,neutral
3591,neutral
5871,positive
3839,positive
8101,positive
12052,neutral
16860,positive
4308,positive
16681,neutral
14286,positive
15168,positive
656,positive
2692,positive
11097,neutral
1055,positive
11003,neutral
2510,neutral
859,neutral
11616,neutral
1108,positive
15513,positive
8285,positive
5317,neutral
10460,positive
8750,positive
7963,neutral
14307,positive
11481,neutral
2950,positive
5227,neutral
1150,neutral
5010,neutral
13663,positive
16002,positive
12571,positive
8490,neutral
14383,positive
4889,positive
6779,positive
12484,positive
1318,neutral
11457,neutral
2378,neutral
16345,positive
15145,positive
2785,positive
15568,positive
220,neutral
6531,positive
2624,neutral
15117,positive
4176,positive
4279,neutral
1110,negative
13509,neutral
13665,neutral
13401,positive
13089,positive
13779,positive
8909,negative
4552,negative
11095,neutral
7235,positive
1902,neutral
4391,positive
13934,positive
4362,positive
2425,positive
201,positive
6956,neutral
3626,neutral
5308,positive
16140,positive
13081,neutral
1068,neutral
1827,positive
10307,negative
10830,positive
8076,positive
15723,positive
6234,neutral
2033,positive
7905,neutral
14470,positive
7399,positive
10253,positive
2213,positive
13414,neutral
10928,positive
15374,positive
9789,neutral
9055,positive
11809,positive
2823,negative
5428,positive
11020,neutral
9014,positive
1772,neutral
2665,neutral
4736,negative
16795,positive
12222,positive
15073,positive
6939,positive
10685,neutral
13675,neutral
1019,positive
6504,positive
8342,positive
9140,positive
2341,positive
4000,positive
4162,positive
3192,negative
9817,positive
10770,positive
9035,positive
14873,neutral
451,positive
1235,positive
6218,positive
13142,positive
11740,neutral
13020,positive
13661,positive
2152,negative
3201,positive
2443,neutral
11226,neutral
904,negative
6787,positive
14550,positive
13356,positive
10827,positive
9841,neutral
8869,negative
8794,negative
10947,positive
7202,neutral
12267,positive
6796,positive
7726,positive
15739,positive
2846,neutral
243,positive
6920,positive
11442,positive
13564,positive
7423,positive
12219,neutral
1464,positive
748,positive
9422,positive
1494,positive
5252,negative
649,positive
4738,positive
17012,positive
15275,positive
4007,neutral
15689,positive
6128,neutral
7232,neutral
8505,positive
11799,positive
16199,positive
13175,positive
5881,positive
14377,positive
15143,positive
253,positive
10951,neutral
1912,positive
13195,neutral
1728,positive
8860,positive
1891,neutral
10271,neutral
11787,positive
10130,positive
2653,positive
12745,neutral
6745,positive
456,positive
5830,positive
13380,neutral
4051,positive
13095,positive
16947,positive
9854,negative
3352,positive
15256,positive
8041,neutral
9400,positive
12357,positive
13407,positive
4659,negative
10217,positive
4331,positive
6794,neutral
10815,neutral
16856,positive
7964,neutral
7917,positive
16104,positive
10771,positive
4660,neutral
3350,negative
2344,positive
9670,positive
8547,neutral
1377,neutral
1455,positive
13616,positive
8612,positive
13007,neutral
5304,neutral
10014,negative
14006,neutral
12617,positive
14138,neutral
6260,neutral
16175,neutral
13135,neutral
12920,positive
7937,positive
4322,neutral
7123,positive
6318,positive
4181,positive
14387,positive
12132,positive
12289,positive
7887,neutral
12248,positive
9877,positive
11471,positive
16585,positive
2843,neutral
17297,positive
4026,positive
4583,neutral
13531,positive
11723,negative
4405,positive
2495,neutral
4332,neutral
15541,negative
2589,neutral
8627,neutral
13805,neutral
3631,neutral
3589,negative
3646,neutral
3695,negative
13498,positive
12505,positive
6482,positive
12237,neutral
15599,neutral
7590,neutral
13371,positive
6579,negative
13926,positive
6765,neutral
4518,positive
12070,neutral
14494,positive
6860,neutral
4423,neutral
1511,positive
7149,neutral
3867,positive
7457,positive
170,neutral
7514,negative
1257,positive
15339,neutral
16172,positive
16569,positive
3062,negative
5476,neutral
3030,neutral
17083,positive
14955,positive
13047,positive
14008,positive
15684,positive
6719,neutral
14226,positive
2983,negative
15129,neutral
